city,longitude,latitude
East Acton,-0.2560861,51.5119794
Wandsworth Common,-0.1687065,51.4480705
Staples Corner,-68.863897,44.659702
Norbury,-2.9396606,52.529867
Hackney Wick,-97.5015533,35.2725398
Coldfall,-95.6885845,29.6166951
West Kensington,-0.2150692,51.4980911
Monks Orchard,-2.514218,53.067592
Mill Hill,-0.2453162,51.6155175
Dulwich,138.6271989,-34.9398833
St James'S,-0.1261135,51.5031658
Bexleyheath,0.1381577,51.4610431
Old Bexley,0.178116,51.436658
Hampton Wick,-0.3105782,51.4127421
Emerson Park,0.2380042,51.571123
Chelsfield,0.104629,51.357288
Berrylands,-0.283704,51.393126
New Charlton,-2.614975,51.5230211
Hainault,-74.450054,18.484311
Brondesbury,-0.2107105,51.5442108
Hale End,0.206493,51.6025
Earlsfield,-0.1834526,51.4429313
Colham Green,-0.4567456,51.5233018
Cockfosters,-0.1560208,51.6501922
Norwood New Town,-78.693645,43.118832
Plaistow,-71.0948969,42.8365108
Norwood Green,-1.788439,53.738327
Dormer'S Wells,-0.3638938,51.5153363
Manor Park,0.047568,51.550731
Woodford Green,0.0228838,51.6112217
St John'S Wood,-0.1869255,51.5393947
Lower Sydenham,-0.043362,51.424216
Blackheath Park,0.0173511,51.4660719
Stroud Green,-0.1128132,51.574243
Norbiton,-0.28505,51.408253
Sands End,-0.190509,51.4682424
North Wembley,-82.532113,28.8883
Southborough,-71.52945,42.30581
Lower Holloway,-0.116497,51.5521169
Cottenham Park,-0.238568,51.415325
Upper Clapton,-0.054024,51.566209
Forest Hill,-97.263677,32.661837
Bandonhill,-84.317505,39.09169
Kidbrooke,0.033219,51.464917
Derry Downs,0.116062,51.384089
Burnt Oak,0.156451,51.022315
Tolworth,-0.295601,51.376249
Willesden Green,-1.232194,52.983125
Hatch End,-0.368164,51.610618
Lesnes Abbey,0.1270265,51.4813298
New Addington,-0.0158087,51.353035
Mayfair,-107.60026,52.982631
Lee,-94.374672,38.913214
Belmont,-81.037813,35.243884
Brook Green,-74.475112,40.600574
Tufnell Park,-0.1381745,51.5580828
Russell Hill,-0.1230358,51.3422929
Craven Walk,-0.064313,51.573646
South Croydon,-0.0889029,51.3543995
Harold Wood,0.2327493,51.5933981
Poverest,0.099395,51.390144
West Brompton,-0.1822096,51.4763441
Brockwell Park,-0.3520174,53.8052133
Woodford Wells,115.7873996,-31.8058028
Old Ford,-0.034186,51.530349
World'S End,139.045413,-33.7877096
Woodlands,-95.4846124,30.1820388
Bloomsbury,148.596009,-20.705995
Plumstead,-75.144082,40.389817
Pentonville,-0.1092819,51.5275598
Aldborough Hatch,0.1177017,51.5886378
Balham,4.1600384,49.491871
Noak Hill,0.2255178,51.6225252
Petts Wood,0.0729802,51.3939263
Tottenham Hale,-0.0609212,51.5910895
Kew,152.723129,-31.6333973
Homerton,141.7602095,-38.1352203
Childs Hill,-0.1965095,51.5647707
Slade Green,0.1891895,51.4720747
New Southgate,-0.13632,51.61203
Streatham Park,-83.650879,41.679452
Chingford Hatch,0.004225,51.618691
South Hackney,-0.0417513,51.5426374
Hayes,-0.42746,51.5174897
West Dulwich,-0.1017373,51.4397123
Collier Row,0.1444335,51.6001066
North Greenwich,-122.683227,45.573516
Bow Common,-79.0187258,35.2674611
Little Stanmore,-0.3197639,51.6254943
Winchmore Hill,-0.0934124,51.6351683
Newington,-72.730943,41.687189
Addiscombe,-0.082033,51.379396
Alexandra Park,-6.1796018,54.7023758
Cyprus,33.358703,35.1702478
South Hornchurch,0.1898045,51.5290672
Parsons Green,-0.1981556,51.4729962
Harrow Weald,-0.3365145,51.6061238
Chase Cross,-75.667925,37.762362
Forty Hill,-0.0659359,51.6692232
Cowley,-114.077614,49.56937
